Date,Close
2010-07-23,96.196
2010-07-26,97.165
2010-07-27,97.155
2010-07-28,96.566
2010-07-29,96.089
2010-07-30,96.07
2010-08-02,98.231
2010-08-03,97.764
2010-08-04,98.42
2010-08-05,98.32
2010-08-06,97.921
2010-08-09,98.438
2010-08-10,97.911
2010-08-11,95.207
2010-08-12,94.642
2010-08-13,94.356
2010-08-16,94.318
2010-08-17,95.467
2010-08-18,95.636
2010-08-19,93.979
2010-08-20,93.666
2010-08-23,93.315
2010-08-24,91.933
2010-08-25,92.291
2010-08-26,91.673
2010-08-27,93.095
2010-08-30,91.744
2010-08-31,91.747
2010-09-01,94.487
2010-09-02,95.361
2010-09-03,96.622
2010-09-07,95.51
2010-09-08,96.196
2010-09-09,96.641
2010-09-10,97.107
2010-09-13,98.203
2010-09-14,98.143
2010-09-15,98.517
2010-09-16,98.497
2010-09-17,97.999
2010-09-20,99.498
2010-09-21,99.289
2010-09-22,98.798
2010-09-23,98.009
2010-09-24,100.03
2010-09-27,99.55
2010-09-28,99.9
2010-09-29,99.72
2010-09-30,99.429
2010-10-01,99.84
2010-10-04,99.08
2010-10-05,101.09
2010-10-06,101.08
2010-10-07,100.97
2010-10-08,101.52
2010-10-11,101.61
2010-10-12,101.94
2010-10-13,102.73
2010-10-14,102.33
2010-10-15,102.54
2010-10-18,103.26
2010-10-19,101.69
2010-10-20,102.68
2010-10-21,102.92
2010-10-22,103.09
2010-10-25,103.41
2010-10-26,103.43
2010-10-27,103.12
2010-10-28,103.14
2010-10-29,103.22
2010-11-01,103.25
2010-11-02,104.09
2010-11-03,104.5
2010-11-04,106.49
2010-11-05,106.93
2010-11-08,106.7
2010-11-09,105.94
2010-11-10,106.35
2010-11-11,105.97
2010-11-12,104.7
2010-11-15,104.55
2010-11-16,102.94
2010-11-17,103.0
2010-11-18,104.51
2010-11-19,104.79
2010-11-22,104.69
2010-11-23,103.19
2010-11-24,104.7
2010-11-26,103.5
2010-11-29,103.8
2010-11-30,103.22
2010-12-01,105.42
2010-12-02,106.77
2010-12-03,107.07
2010-12-06,106.95
2010-12-07,107.01
2010-12-08,107.41
2010-12-09,107.82
2010-12-10,108.43
2010-12-13,108.5
2010-12-14,108.6
2010-12-15,108.11
2010-12-16,108.74
2010-12-17,108.27
2010-12-20,108.54
2010-12-21,109.24
2010-12-22,109.59
2010-12-23,109.44
2010-12-27,109.49
2010-12-28,109.62
2010-12-29,109.68
2010-12-30,109.54
2010-12-31,109.57
2011-01-03,110.68
2011-01-04,110.61
2011-01-05,111.2
2011-01-06,110.98
2011-01-07,110.76
2011-01-10,110.61
2011-01-11,111.02
2011-01-12,112.01
2011-01-13,111.82
2011-01-14,112.65
2011-01-18,112.83
2011-01-19,111.72
2011-01-20,111.58
2011-01-21,111.82
2011-01-24,112.46
2011-01-25,112.53
2011-01-26,112.96
2011-01-27,113.25
2011-01-28,111.26
2011-01-31,112.1
2011-02-01,113.89
2011-02-02,113.67
2011-02-03,113.92
2011-02-04,114.26
2011-02-07,114.97
2011-02-08,115.49
2011-02-09,115.25
2011-02-10,115.28
2011-02-11,115.96
2011-02-14,116.24
2011-02-15,115.87
2011-02-16,116.6
2011-02-18,117.21
2011-02-22,114.85
2011-02-23,114.14
2011-02-24,114.05
2011-02-25,115.28
2011-02-28,116.0
2011-03-01,114.06
2011-03-02,114.31
2011-03-03,116.27
2011-03-04,115.4
2011-03-07,114.49
2011-03-08,115.5
2011-03-09,115.33
2011-03-10,113.21
2011-03-11,113.97
2011-03-14,113.3
2011-03-15,111.99
2011-03-16,109.91
2011-03-17,111.38
2011-03-18,111.77
2011-03-21,113.51
2011-03-22,113.12
2011-03-23,113.45
2011-03-24,114.53
2011-03-25,114.88
2011-03-28,114.59
2011-03-29,115.37
2011-03-30,116.16
2011-03-31,116.0
2011-04-01,116.49
2011-04-04,116.59
2011-04-05,116.57
2011-04-06,116.96
2011-04-07,116.65
2011-04-08,116.25
2011-04-11,115.89
2011-04-12,115.03
2011-04-13,115.02
2011-04-14,115.11
2011-04-15,115.53
2011-04-18,114.24
2011-04-19,114.89
2011-04-20,116.44
2011-04-21,117.07
2011-04-25,116.94
2011-04-26,117.93
2011-04-27,118.71
2011-04-28,119.1
2011-04-29,119.36
2011-05-02,119.19
2011-05-03,118.76
2011-05-04,117.96
2011-05-05,116.91
2011-05-06,117.4
2011-05-09,117.86
2011-05-10,118.89
2011-05-11,117.61
2011-05-12,118.18
2011-05-13,117.28
2011-05-16,116.53
2011-05-17,116.51
2011-05-18,117.55
2011-05-19,117.82
2011-05-20,116.91
2011-05-23,115.54
2011-05-24,115.44
2011-05-25,115.82
2011-05-26,116.35
2011-05-27,116.81
2011-05-31,118.02
2011-06-01,115.38
2011-06-02,115.27
2011-06-03,114.1
2011-06-06,112.91
2011-06-07,112.83
2011-06-08,112.36
2011-06-09,113.22
2011-06-10,111.64
2011-06-13,111.72
2011-06-14,113.15
2011-06-15,111.15
2011-06-16,111.38
2011-06-17,111.7
2011-06-20,112.28
2011-06-21,113.83
2011-06-22,113.14
2011-06-23,112.81
2011-06-24,111.51
2011-06-27,112.49
2011-06-28,113.95
2011-06-29,114.94
2011-06-30,116.02
2011-07-01,117.73
2011-07-05,117.64
2011-07-06,117.78
2011-07-07,119.03
2011-07-08,118.17
2011-07-11,116.02
2011-07-12,115.54
2011-07-13,115.92
2011-07-14,115.13
2011-07-15,115.78
2011-07-18,114.84
2011-07-19,116.71
2011-07-20,116.64
2011-07-21,118.24
2011-07-22,118.33
2011-07-25,117.66
2011-07-26,117.23
2011-07-27,114.83
2011-07-28,114.49
2011-07-29,113.71
2011-08-01,113.24
2011-08-02,110.33
2011-08-03,110.94
2011-08-04,105.75
2011-08-05,105.59
2011-08-08,98.698
2011-08-09,103.29
2011-08-10,98.728
2011-08-11,103.16
2011-08-12,103.85
2011-08-15,106.06
2011-08-16,105.15
2011-08-17,105.23
2011-08-18,100.68
2011-08-19,99.021
2011-08-22,99.1
2011-08-23,102.39
2011-08-24,103.82
2011-08-25,102.24
2011-08-26,103.72
